('30/05/2022 17:07:27', '478', '585')
('30/05/2022 17:07:28', '478', '219')
('30/05/2022 17:07:29', '478', '45')
('30/05/2022 17:07:30', '479', '762')
('30/05/2022 17:07:32', '467', '466')
('30/05/2022 17:07:33', '477', '207')
('30/05/2022 17:07:34', '481', '82')
('30/05/2022 17:07:35', '464', '2')
('30/05/2022 17:07:37', '474', '240')
('30/05/2022 17:07:38', '465', '5')
('30/05/2022 17:07:39', '466', '454')
('30/05/2022 17:07:40', '467', '385')
('30/05/2022 17:07:41', '471', '255')
('30/05/2022 17:07:43', '467', '289')
('30/05/2022 17:07:44', '454', '338')
('30/05/2022 17:07:45', '467', '574')
('30/05/2022 17:07:46', '479', '378')
('30/05/2022 17:07:48', '464', '13')
('30/05/2022 17:07:49', '469', '52')
('30/05/2022 17:07:50', '464', '1')
('30/05/2022 17:07:51', '464', '213')
('30/05/2022 17:07:52', '465', '226')
('30/05/2022 17:07:54', '468', '2')
('30/05/2022 17:07:55', '459', '22')
('30/05/2022 17:07:56', '464', '1')
('30/05/2022 17:07:57', '465', '240')
('30/05/2022 17:07:58', '462', '176')
('30/05/2022 17:07:59', '464', '90')
('30/05/2022 17:08:00', '464', '427')
('30/05/2022 17:08:01', '453', '112')
('30/05/2022 17:08:03', '462', '431')
('30/05/2022 17:08:04', '461', '64')
('30/05/2022 17:08:05', '464', '79')
('30/05/2022 17:08:06', '459', '470')
('30/05/2022 17:08:07', '458', '436')
('30/05/2022 17:08:09', '459', '489')
('30/05/2022 17:08:10', '462', '256')
('30/05/2022 17:08:11', '458', '220')
('30/05/2022 17:08:12', '453', '1')
('30/05/2022 17:08:13', '462', '10')
('30/05/2022 17:08:15', '464', '319')
('30/05/2022 17:08:16', '459', '256')
('30/05/2022 17:08:17', '468', '225')
('30/05/2022 17:08:18', '454', '401')
('30/05/2022 17:08:20', '461', '409')
('30/05/2022 17:08:21', '459', '1')
('30/05/2022 17:08:22', '455', '22')
('30/05/2022 17:08:23', '450', '357')
('30/05/2022 17:08:24', '450', '299')
('30/05/2022 17:08:26', '448', '464')
('30/05/2022 17:08:27', '442', '6')
('30/05/2022 17:08:28', '447', '4')
('30/05/2022 17:08:29', '445', '3')
('30/05/2022 17:08:31', '454', '175')
('30/05/2022 17:08:32', '449', '400')
('30/05/2022 17:08:33', '448', '240')
('30/05/2022 17:08:35', '458', '243')
('30/05/2022 17:08:36', '456', '110')
('30/05/2022 17:08:37', '443', '455')
('30/05/2022 17:08:38', '445', '191')
('30/05/2022 17:08:39', '445', '315')
('30/05/2022 17:08:40', '459', '133')
('30/05/2022 17:08:42', '451', '146')
('30/05/2022 17:08:43', '443', '239')
('30/05/2022 17:08:44', '449', '368')
('30/05/2022 17:08:45', '453', '246')
('30/05/2022 17:08:47', '456', '447')
('30/05/2022 17:08:48', '447', '454')
('30/05/2022 17:08:49', '446', '10')
('30/05/2022 17:08:50', '445', '3')
('30/05/2022 17:08:52', '449', '374')
('30/05/2022 17:08:53', '443', '350')
('30/05/2022 17:08:54', '448', '194')
('30/05/2022 17:08:55', '448', '303')
('30/05/2022 17:08:56', '447', '192')
('30/05/2022 17:08:58', '449', '30')
('30/05/2022 17:08:59', '445', '394')
('30/05/2022 17:09:00', '444', '107')
('30/05/2022 17:09:01', '444', '768')
('30/05/2022 17:09:03', '442', '467')
('30/05/2022 17:09:04', '451', '256')
('30/05/2022 17:09:05', '447', '208')
('30/05/2022 17:09:06', '446', '93')
('30/05/2022 17:09:07', '442', '6')
('30/05/2022 17:09:09', '446', '496')
('30/05/2022 17:09:10', '450', '443')
('30/05/2022 17:09:11', '446', '470')
('30/05/2022 17:09:12', '442', '423')
('30/05/2022 17:09:14', '444', '449')
('30/05/2022 17:09:16', '449', '1')
('30/05/2022 17:09:17', '442', '6')
('30/05/2022 17:09:19', '448', '317')
('30/05/2022 17:09:20', '448', '3')
('30/05/2022 17:09:21', '439', '1')
('30/05/2022 17:09:22', '449', '485')
('30/05/2022 17:09:23', '446', '241')
('30/05/2022 17:09:24', '448', '4')
('30/05/2022 17:09:26', '448', '74')
('30/05/2022 17:09:27', '435', '307')
('30/05/2022 17:09:28', '450', '53')
('30/05/2022 17:09:29', '443', '7')
('30/05/2022 17:09:31', '444', '253')
('30/05/2022 17:09:32', '454', '560')
('30/05/2022 17:09:33', '446', '482')
('30/05/2022 17:09:34', '440', '2')
('30/05/2022 17:09:36', '446', '240')
('30/05/2022 17:09:37', '447', '99')
('30/05/2022 17:09:38', '454', '15')
('30/05/2022 17:09:40', '447', '4')
('30/05/2022 17:09:41', '445', '294')
('30/05/2022 17:09:42', '443', '890')
('30/05/2022 17:09:43', '435', '3')
('30/05/2022 17:09:44', '443', '35')
('30/05/2022 17:09:46', '445', '48')
('30/05/2022 17:09:47', '446', '32')
('30/05/2022 17:09:48', '434', '61')
('30/05/2022 17:09:49', '439', '3')
('30/05/2022 17:09:51', '443', '6')
('30/05/2022 17:09:52', '439', '283')
('30/05/2022 17:09:53', '442', '103')
('30/05/2022 17:09:55', '438', '4')
('30/05/2022 17:09:56', '438', '31')
('30/05/2022 17:09:57', '437', '3')
('30/05/2022 17:09:58', '441', '453')
('30/05/2022 17:09:59', '435', '209')
('30/05/2022 17:10:01', '435', '79')
('30/05/2022 17:10:02', '438', '11')
('30/05/2022 17:10:03', '464', '27')
('30/05/2022 17:10:04', '435', '89')
('30/05/2022 17:10:05', '439', '313')
('30/05/2022 17:10:07', '434', '2')
('30/05/2022 17:10:08', '434', '29')
('30/05/2022 17:10:10', '431', '12')
('30/05/2022 17:10:11', '438', '34')
('30/05/2022 17:10:12', '430', '816')
('30/05/2022 17:10:13', '436', '336')
('30/05/2022 17:10:15', '438', '261')
('30/05/2022 17:10:16', '437', '313')
('30/05/2022 17:10:18', '441', '71')
('30/05/2022 17:10:19', '432', '346')
('30/05/2022 17:10:20', '451', '2')
('30/05/2022 17:10:21', '438', '322')
('30/05/2022 17:10:22', '437', '304')
('30/05/2022 17:10:23', '443', '5')
('30/05/2022 17:10:25', '435', '105')
('30/05/2022 17:10:26', '448', '7')
('30/05/2022 17:10:27', '439', '23')
('30/05/2022 17:10:28', '438', '16')
('30/05/2022 17:10:30', '437', '337')
('30/05/2022 17:10:31', '435', '241')
('30/05/2022 17:10:32', '436', '49')
('30/05/2022 17:10:34', '452', '170')
('30/05/2022 17:10:35', '434', '752')
('30/05/2022 17:10:37', '432', '29')
('30/05/2022 17:10:38', '439', '357')
('30/05/2022 17:10:39', '435', '25')
('30/05/2022 17:10:40', '451', '735')
('30/05/2022 17:10:41', '431', '3')
('30/05/2022 17:10:43', '447', '310')
('30/05/2022 17:10:44', '433', '256')
('30/05/2022 17:10:45', '438', '3')
('30/05/2022 17:10:46', '446', '23')
('30/05/2022 17:10:48', '432', '1')
('30/05/2022 17:10:49', '432', '1')
('30/05/2022 17:10:50', '437', '460')
('30/05/2022 17:10:51', '432', '29')
('30/05/2022 17:10:53', '433', '235')
('30/05/2022 17:10:54', '435', '419')
('30/05/2022 17:10:55', '432', '86')
('30/05/2022 17:10:56', '435', '183')
('30/05/2022 17:10:57', '435', '193')
('30/05/2022 17:10:59', '432', '234')
('30/05/2022 17:11:00', '436', '190')
('30/05/2022 17:11:01', '453', '214')
('30/05/2022 17:11:03', '435', '457')
('30/05/2022 17:11:04', '437', '142')
('30/05/2022 17:11:05', '432', '5')
('30/05/2022 17:11:06', '432', '464')
('30/05/2022 17:11:07', '439', '226')
('30/05/2022 17:11:09', '432', '5')
('30/05/2022 17:11:10', '434', '34')
('30/05/2022 17:11:11', '438', '216')
('30/05/2022 17:11:12', '434', '246')
('30/05/2022 17:11:13', '433', '176')
('30/05/2022 17:11:14', '434', '2')
('30/05/2022 17:11:16', '434', '27')
('30/05/2022 17:11:17', '430', '237')
('30/05/2022 17:11:18', '435', '191')
('30/05/2022 17:11:19', '434', '451')
('30/05/2022 17:11:21', '428', '1')
('30/05/2022 17:11:22', '434', '272')
('30/05/2022 17:11:23', '433', '432')
('30/05/2022 17:11:24', '430', '240')
('30/05/2022 17:11:26', '427', '197')
('30/05/2022 17:11:27', '432', '233')
('30/05/2022 17:11:28', '430', '1')
('30/05/2022 17:11:29', '432', '6')
('30/05/2022 17:11:30', '434', '3')
('30/05/2022 17:11:32', '425', '3')
('30/05/2022 17:11:33', '434', '269')
('30/05/2022 17:11:34', '449', '218')
('30/05/2022 17:11:35', '433', '326')
('30/05/2022 17:11:37', '432', '3')
('30/05/2022 17:11:38', '432', '187')
('30/05/2022 17:11:39', '430', '467')
('30/05/2022 17:11:40', '435', '428')
('30/05/2022 17:11:42', '431', '411')
('30/05/2022 17:11:43', '432', '267')
('30/05/2022 17:11:44', '432', '298')
('30/05/2022 17:11:45', '432', '255')
('30/05/2022 17:11:46', '433', '277')
('30/05/2022 17:11:48', '432', '206')
('30/05/2022 17:11:49', '429', '2')
('30/05/2022 17:11:50', '432', '75')
('30/05/2022 17:11:51', '432', '453')
('30/05/2022 17:11:53', '430', '341')
('30/05/2022 17:11:54', '432', '355')
('30/05/2022 17:11:55', '433', '477')
('30/05/2022 17:11:56', '421', '465')
('30/05/2022 17:11:57', '438', '253')
('30/05/2022 17:11:59', '435', '204')
('30/05/2022 17:12:00', '433', '287')
('30/05/2022 17:12:01', '432', '217')
('30/05/2022 17:12:02', '432', '403')
('30/05/2022 17:12:04', '433', '449')
('30/05/2022 17:12:05', '432', '435')
('30/05/2022 17:12:06', '429', '467')
('30/05/2022 17:12:07', '432', '192')
('30/05/2022 17:12:09', '433', '413')
('30/05/2022 17:12:10', '430', '442')
('30/05/2022 17:12:11', '437', '246')
('30/05/2022 17:12:12', '423', '82')
('30/05/2022 17:12:13', '432', '252')
('30/05/2022 17:12:15', '421', '203')
('30/05/2022 17:12:16', '432', '459')
('30/05/2022 17:12:17', '432', '2')
('30/05/2022 17:12:18', '434', '238')
('30/05/2022 17:12:20', '435', '427')
('30/05/2022 17:12:21', '435', '122')
('30/05/2022 17:12:22', '432', '377')
('30/05/2022 17:12:23', '427', '467')
('30/05/2022 17:12:25', '432', '459')
('30/05/2022 17:12:26', '432', '198')
('30/05/2022 17:12:27', '433', '400')
('30/05/2022 17:12:28', '433', '292')
('30/05/2022 17:12:29', '433', '389')
('30/05/2022 17:12:31', '436', '293')
('30/05/2022 17:12:32', '432', '544')
('30/05/2022 17:12:33', '432', '10')
('30/05/2022 17:12:34', '415', '8')
('30/05/2022 17:12:36', '432', '2')
('30/05/2022 17:12:37', '435', '402')
('30/05/2022 17:12:38', '432', '459')
('30/05/2022 17:12:39', '432', '404')
('30/05/2022 17:12:40', '432', '13')
